AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2022,7,León,América,Argentina,57,559,9.8
2022,7,Lleida,América,Argentina,81,591,7.3
2022,7,Lugo,América,Argentina,52,478,9.2
2022,7,Madrid,América,Argentina,12416,72013,5.8
2022,7,Murcia,América,Argentina,75,735,9.8
2022,7,Málaga,América,Argentina,1608,19618,12.2
2022,7,Navarra,América,Argentina,91,1010,11.1
2022,7,Ourense,América,Argentina,44,497,11.3
2022,7,Pontevedra,América,Argentina,232,2459,10.6
2022,7,Salamanca,América,Argentina,48,384,8
2022,7,Santa Cruz de Tenerife,América,Argentina,167,1754,10.5
2022,7,Sevilla,América,Argentina,178,1655,9.3
2022,7,Tarragona,América,Argentina,381,3543,9.3
2022,7,Toledo,América,Argentina,99,634,6.4
2022,7,Total Nacional,América,Argentina,33276,260214,7.8
2022,7,Valencia/València,América,Argentina,1001,10611,10.6
2022,7,Zaragoza,América,Argentina,88,898,10.2
2022,8,A Coruña,América,Argentina,302,3654,12.1
2022,8,Alicante/Alacant,América,Argentina,839,9732,11.6
2022,8,Almería,América,Argentina,161,1835,11.4
2022,8,Asturias,América,Argentina,154,1648,10.7
2022,8,Badajoz,América,Argentina,58,568,9.8
2022,8,Barcelona,América,Argentina,7805,63221,8.1
2022,8,Bizkaia,América,Argentina,153,1469,9.6
2022,8,Burgos,América,Argentina,36,281,7.8
2022,8,Cantabria,América,Argentina,87,992,11.4
2022,8,Castellón/Castelló,América,Argentina,104,1165,11.2
2022,8,Cádiz,América,Argentina,508,5232,10.3
2022,8,Gipuzkoa,América,Argentina,326,2934,9
2022,8,Girona,América,Argentina,623,4797,7.7
2022,8,Granada,América,Argentina,176,1725,9.8
2022,8,Guadalajara,América,Argentina,34,258,7.6
2022,8,Huesca,América,Argentina,43,391,9.1
2022,8,Illes Balears,América,Argentina,4390,49607,11.3
2022,8,La Rioja,América,Argentina,32,266,8.3
2022,8,Las Palmas,América,Argentina,216,1944,9
2022,8,León,América,Argentina,46,547,11.9
2022,8,Lleida,América,Argentina,55,391,7.1
2022,8,Lugo,América,Argentina,51,587,11.5
2022,8,Madrid,América,Argentina,10495,65069,6.2
2022,8,Murcia,América,Argentina,80,848,10.6
2022,8,Málaga,América,Argentina,1580,20066,12.7
2022,8,Navarra,América,Argentina,66,660,10
2022,8,Ourense,América,Argentina,47,611,13
2022,8,Pontevedra,América,Argentina,281,3484,12.4
2022,8,Salamanca,América,Argentina,34,262,7.7
2022,8,Santa Cruz de Tenerife,América,Argentina,180,2124,11.8
2022,8,Sevilla,América,Argentina,209,2445,11.7
2022,8,Tarragona,América,Argentina,290,3306,11.4
2022,8,Toledo,América,Argentina,73,555,7.6
2022,8,Total Nacional,América,Argentina,30877,268191,8.7
2022,8,Valencia/València,América,Argentina,967,12088,12.5
2022,8,Zaragoza,América,Argentina,86,860,10
2022,9,A Coruña,América,Argentina,321,3371,10.5
2022,9,Alicante/Alacant,América,Argentina,652,7694,11.8
2022,9,Almería,América,Argentina,97,1135,11.7
2022,9,Araba/Álava,América,Argentina,31,195,6.3
2022,9,Asturias,América,Argentina,161,1852,11.5
2022,9,Badajoz,América,Argentina,34,275,8.1
2022,9,Barcelona,América,Argentina,7017,54031,7.7
2022,9,Bizkaia,América,Argentina,151,1616,10.7
2022,9,Burgos,América,Argentina,33,231,7
2022,9,Cantabria,América,Argentina,91,983,10.8
2022,9,Castellón/Castelló,América,Argentina,87,853,9.8
2022,9,Cáceres,América,Argentina,30,198,6.6
2022,9,Cádiz,América,Argentina,199,2109,10.6
2022,9,Córdoba,América,Argentina,53,323,6.1
2022,9,Gipuzkoa,América,Argentina,295,2714,9.2
2022,9,Girona,América,Argentina,466,4194,9
2022,9,Granada,América,Argentina,213,1725,8.1
2022,9,Guadalajara,América,Argentina,36,284,7.9
2022,9,Huelva,América,Argentina,33,330,10
2022,9,Huesca,América,Argentina,39,328,8.4
2022,9,Illes Balears,América,Argentina,3459,34936,10.1
2022,9,Las Palmas,América,Argentina,173,2041,11.8
2022,9,León,América,Argentina,45,509,11.3
2022,9,Lleida,América,Argentina,53,419,7.9
2022,9,Lugo,América,Argentina,59,620,10.5
2022,9,Madrid,América,Argentina,15026,90156,6
2022,9,Murcia,América,Argentina,80,816,10.2
2022,9,Málaga,América,Argentina,1342,14762,11
2022,9,Navarra,América,Argentina,86,886,10.3
2022,9,Ourense,América,Argentina,47,691,14.7
2022,9,Pontevedra,América,Argentina,201,2472,12.3
2022,9,Salamanca,América,Argentina,45,311,6.9
2022,9,Santa Cruz de Tenerife,América,Argentina,152,1596,10.5
2022,9,Sevilla,América,Argentina,346,2906,8.4
2022,9,Tarragona,América,Argentina,243,2697,11.1
2022,9,Toledo,América,Argentina,86,585,6.8
2022,9,Total Nacional,América,Argentina,32654,252489,7.7
2022,9,Valencia/València,América,Argentina,832,8986,10.8
2022,9,Zaragoza,América,Argentina,110,990,9
2022,10,A Coruña,América,Argentina,260,2600,10
2022,10,Alicante/Alacant,América,Argentina,562,6126,10.9
2022,10,Almería,América,Argentina,81,915,11.3
2022,10,Araba/Álava,América,Argentina,33,310,9.4
2022,10,Asturias,América,Argentina,155,1581,10.2
2022,10,Badajoz,América,Argentina,31,273,8.8
2022,10,Barcelona,América,Argentina,6595,47484,7.2
2022,10,Bizkaia,América,Argentina,173,1488,8.6
2022,10,Cantabria,América,Argentina,103,1051,10.2
2022,10,Castellón/Castelló,América,Argentina,99,881,8.9
2022,10,Cáceres,América,Argentina,46,396,8.6
2022,10,Cádiz,América,Argentina,158,1438,9.1
2022,10,Córdoba,América,Argentina,59,484,8.2
2022,10,Gipuzkoa,América,Argentina,297,2673,9
